"t","A_2y","B_2y","C_2y","D_2y","A_5y","B_5y","C_5y","D_5y","A_10y","B_10y","C_10y","D_10y"
0,0,0,0,0,0,0,0,0,0,0,0,0
0.1667,0.29,0.009,0.2959,0.2959,0.29,0.009,0.2959,0.2959,0.29,0.009,0.2959,0.2959
0.3333,0.111,0.0034,0.1165,0.1165,0.111,0.0034,0.1165,0.1165,0.111,0.0034,0.1165,0.1165
0.5,0.0257,8e-04,0.0275,0.0275,0.0257,8e-04,0.0275,0.0275,0.0257,8e-04,0.0275,0.0275
0.6667,0.0058,2e-04,0.0063,0.0063,0.0058,2e-04,0.0063,0.0063,0.0058,2e-04,0.0063,0.0063
0.8333,0.0013,0,0.0015,0.0015,0.0013,0,0.0015,0.0015,0.0013,0,0.0015,0.0015
1,0,0,0,0,0,0,0,0,0,0,0,0
1.1667,0,0,0,0,0,0,0,0,0,0,0,0
1.3333,0,0,0,0,0,0,0,0,0,0,0,0
1.5,0,0,0,0,0,0,0,0,0,0,0,0
1.6667,0,0,0,0,0,0,0,0,0,0,0,0
1.8333,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0
2.1667,0,0,0,0,0,0,0,0,0,0,0,0
2.3333,0,0,0,0,0,0,0,0,0,0,0,0
2.5,0,0,0,0,0,0,0,0,0,0,0,0
2.6667,0,0,0,0,0,0,0,0,0,0,0,0
2.8333,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0
3.1667,0,0,0,0,0,0,0,0,0,0,0,0
3.3333,0,0,0,0,0,0,0,0,0,0,0,0
3.5,0,0,0,0,0,0,0,0,0,0,0,0
3.6667,0,0,0,0,0,0,0,0,0,0,0,0
3.8333,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0
4.1667,0,0,0,0,0,0,0,0,0,0,0,0
4.3333,0,0,0,0,0,0,0,0,0,0,0,0
4.5,0,0,0,0,0,0,0,0,0,0,0,0
4.6667,0,0,0,0,0,0,0,0,0,0,0,0
4.8333,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0
5.1667,0,0,0,0,0,0,0,0,0,0,0,0
5.3333,0,0,0,0,0,0,0,0,0,0,0,0
5.5,0,0,0,0,0,0,0,0,0,0,0,0
5.6667,0,0,0,0,0,0,0,0,0,0,0,0
5.8333,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0
6.1667,0,0,0,0,0,0,0,0,0,0,0,0
6.3333,0,0,0,0,0,0,0,0,0,0,0,0
6.5,0,0,0,0,0,0,0,0,0,0,0,0
6.6667,0,0,0,0,0,0,0,0,0,0,0,0
